,Team,Play
0,Florida,Batting starts
1,Florida,No play.
2,Florida,Kurland singled to shortstop (3-2 SBFBB).
3,Florida,Langford walked (3-2 BBKBSB); Kurland advanced to second.
4,Florida,Caglianone grounded out to 1b unassisted (1-1 KB); Langford advanced to second; Kurland advanced to third.
5,Florida,J. Rivera struck out swinging (2-2 BBKKS).
6,Florida,Riopelle struck out looking (3-2 BBFBFK).
7,Florida,Batting ends R: 0 H:1 E:0
8,LSU,Batting starts
9,LSU,Crews singled through the left side (1-0 B).
10,LSU,White struck out swinging (2-2 BSFBS).
11,LSU,Morgan grounded out to ss (3-1 BBBK); Crews advanced to second.
12,LSU,"Dugas doubled to right center, RBI (2-1 BKB); Crews scored."
13,LSU,Beloso walked (3-0 BBBB).
14,LSU,Travinski walked (3-2 BSKBBB); Beloso advanced to second; Dugas advanced to third.
15,LSU,Jobert grounded out to 2b (2-0 BB).
16,LSU,Batting ends R: 1 H:2 E:0
17,Florida,Batting starts
18,Florida,Heyman struck out swinging (2-2 KBFBS).
19,Florida,Shelnut struck out swinging (0-2 KKS).
20,Florida,"Evans homered down the lf line, RBI (0-1 K)."
21,Florida,Halter flied out to rf (2-1 BBF).
22,Florida,Batting ends R: 1 H:1 E:0
23,LSU,Batting starts
24,LSU,Thompson flied out to cf to left center (1-1 BF).
25,LSU,Pearson walked (3-0 BBBB).
26,LSU,Crews singled to left field (0-0); Pearson advanced to second.
27,LSU,"White singled to right center, RBI (2-2 FFBBFF); Crews advanced to third; Pearson scored."
28,LSU,"Morgan flied out to lf, SF, RBI (1-0 B); Crews scored."
29,LSU,Dugas hit by pitch (0-0); White advanced to second.
30,LSU,Dugas advanced to second on a wild pitch; White advanced to third on a wild pitch.
31,LSU,Beloso walked (3-1 BSBBB).
32,LSU,Travinski reached on a fielder's choice to third base (2-2 KSBBFFFF); Beloso advanced to second; Dugas out at third 3b unassisted.
33,LSU,Batting ends R: 2 H:2 E:0
34,Florida,Batting starts
35,Florida,Kurland hit by pitch (0-0).
36,Florida,Langford singled to left field (0-1 K); Kurland advanced to second.
37,Florida,"Caglianone singled up the middle, RBI (0-0); Langford advanced to second; Kurland scored."
38,Florida,"J. Rivera singled through the left side, RBI (1-2 FSB); Caglianone advanced to second; Langford scored."
39,Florida,Riopelle struck out looking (2-2 FBBSK).
40,Florida,Heyman reached on a fielder's choice to shortstop (1-1 KB); J. Rivera advanced to second on a fielding error by ss; Caglianone advanced to third.
41,LSU,Guidry to p for Ackenhausen.
42,Florida,Shelnut struck out swinging (0-2 SKS).
43,Florida,"Evans homered down the lf line, 4 RBI, team unearned (0-0); Heyman scored, unearned; J. Rivera scored, unearned; Caglianone scored, unearned."
44,Florida,Halter grounded out to 1b unassisted (1-1 BS).
45,Florida,Batting ends R: 6 H:4 E:1
46,LSU,Batting starts
47,LSU,Jobert walked (3-1 BBBKB).
48,LSU,Thompson struck out swinging (2-2 BKBFS).
49,LSU,Pearson walked (3-2 KBBBFFFB); Jobert advanced to second.
50,LSU,Crews hit by pitch (0-2 KFF); Pearson advanced to second; Jobert advanced to third.
51,Florida,Purnell to p for Waldrep.
52,LSU,White grounded into double play ss to 2b to 1b (1-0 B); Crews out on the play.
53,LSU,Batting ends R: 0 H:0 E:0
54,Florida,Batting starts
55,Florida,Kurland walked (3-1 BKBBB).
56,Florida,Langford singled to second base (0-1 F); Kurland advanced to second.
57,Florida,"Caglianone reached on a fielder's choice to second base (2-0 BB); Langford out at second 2b to ss; Kurland advanced to third, scored on a throwing error by ss, unearned."
58,Florida,Call on the field was no obstruction on the slide - LSU Challenged.
59,Florida,Call on the field was confirmed - LSU loses first challenge.
60,Florida,No play.
61,Florida,"Caglianone out at second c to 2b, caught stealing."
62,Florida,J. Rivera struck out looking (1-2 BFSK).
63,Florida,Batting ends R: 1 H:1 E:1
64,LSU,Batting starts
65,LSU,Morgan walked (3-1 BBKBB).
66,LSU,Dugas grounded into double play ss to 2b to 1b (1-1 BK); Morgan out on the play.
67,LSU,Beloso walked (3-1 KBBBB).
68,LSU,Travinski reached on a fielder's choice to shortstop (2-2 BKFB); Beloso out at second ss to 2b.
69,LSU,Batting ends R: 0 H:0 E:0
70,Florida,Batting starts
71,LSU,Collins to p for Guidry.
72,Florida,Riopelle singled to center field (1-0 B).
73,Florida,Heyman flied out to cf (1-1 KB).
74,Florida,Shelnut lined out to cf (1-2 BFFF).
75,Florida,Evans struck out swinging (0-2 KSFS).
76,Florida,Batting ends R: 0 H:1 E:0
77,LSU,Batting starts
78,Florida,Ficarrotta to p for Purnell.
79,LSU,Jobert lined out to cf (2-2 SBBK).
80,LSU,Thompson flied out to cf to left center (3-2 BFBFBF).
81,LSU,Pearson singled through the right side (1-2 BKF).
82,LSU,Crews grounded out to 3b (3-2 BFBFB).
83,LSU,Batting ends R: 0 H:1 E:0
84,Florida,Batting starts
85,Florida,Halter doubled to right center (0-1 F).
86,Florida,Kurland hit by pitch (0-0).
87,Florida,"Langford homered to left field, 3 RBI (0-1 S); Kurland scored; Halter scored."
88,Florida,"Caglianone homered to left center, RBI (1-1 SB)."
89,Florida,J. Rivera reached on a fielding error by 3b (0-2 FK).
90,LSU,Money to p for Collins.
91,Florida,Riopelle struck out swinging (3-2 BFSBBS); J. Rivera stole second.
92,Florida,Heyman flied out to lf to left center (0-0).
93,Florida,"Shelnut singled up the middle, RBI (1-2 BSF); J. Rivera scored, unearned."
94,Florida,Evans grounded out to p (3-2 BBKFFFB).
95,Florida,Batting ends R: 5 H:4 E:1
96,LSU,Batting starts
97,LSU,White grounded out to 3b (0-1 S).
98,LSU,Morgan out at first 1b to p (2-2 FKBB).
99,LSU,Dugas struck out swinging (2-2 KBBFFS).
100,LSU,Batting ends R: 0 H:0 E:0
101,Florida,Batting starts
102,Florida,Halter struck out swinging (2-2 FBSFBFS).
103,Florida,Kurland doubled to left field (2-2 BBSF).
104,Florida,"Langford doubled down the lf line, RBI (0-0); Kurland scored."
105,LSU,Little to p for Money.
106,Florida,Langford advanced to third on a passed ball.
107,Florida,"Caglianone out at first 1b to p, RBI (1-2 KBK); Langford scored."
108,Florida,J. Rivera singled through the left side (0-1 K).
109,Florida,"J. Rivera stole second, advanced to third on a throwing error by c."
110,Florida,Riopelle walked (3-2 BBBKKB).
111,Florida,Riopelle advanced to second on a wild pitch.
112,Florida,Heyman struck out swinging (3-2 BFBSBS).
113,Florida,Batting ends R: 2 H:3 E:1
114,LSU,Batting starts
115,LSU,Beloso popped up to lf (2-2 KKBBF).
116,LSU,Travinski grounded out to 3b (0-0).
117,LSU,Jobert hit by pitch (1-2 BKS).
118,LSU,Thompson struck out swinging (1-2 BSFS).
119,LSU,Batting ends R: 0 H:0 E:0
120,Florida,Batting starts
121,LSU,Jones to c for Travinski.
122,LSU,Nippolt to ss for Thompson.
123,Florida,Shelnut walked (3-0 BBBB).
124,Florida,Evans singled to right center (1-2 FSFB); Shelnut advanced to second.
125,Florida,Halter flied out to cf to left center (3-1 BBBK).
126,Florida,Kurland grounded out to p (0-0); Evans advanced to second; Shelnut advanced to third.
127,Florida,"Langford doubled to left field, 2 RBI (0-2 FF); Evans scored; Shelnut scored."
128,Florida,"Caglianone homered to right field, 2 RBI (0-1 F); Langford scored."
129,Florida,J. Rivera grounded out to ss (1-1 BS).
130,Florida,Batting ends R: 4 H:3 E:0
131,LSU,Batting starts
132,LSU,Pearson popped up to 2b (0-1 F).
133,LSU,Kling pinch hit for Crews.
134,LSU,Kling singled up the middle (2-2 BSKB).
135,LSU,Merrifield pinch hit for White.
136,LSU,Merrifield lined out to lf (0-0).
137,LSU,Frey pinch hit for Morgan.
138,LSU,Frey reached on a fielding error by 3b (1-2 KBF); Kling advanced to second.
139,LSU,Dugas reached on a fielder's choice to third base (0-1 F); Frey advanced to second; Kling out at third 3b unassisted.
140,LSU,Batting ends R: 0 H:1 E:1
141,Florida,Batting starts
142,LSU,Kling to cf.
143,LSU,Merrifield to 3b.
144,LSU,Frey to rf.
145,LSU,Jobert to 1b.
146,LSU,Dutton to p for Little.
147,Florida,"Riopelle homered to center field, RBI (0-2 KKF)."
148,Florida,Talbott pinch hit for Heyman.
149,Florida,Talbott struck out swinging (3-2 BBFBSS).
150,Florida,Shelnut singled up the middle (3-1 BSBB).
151,Florida,Prevesk pinch hit for Evans.
152,Florida,"Prevesk singled through the right side, advanced to second on a fielding error by rf, advanced to third on the error (1-1 FB); Shelnut advanced to third, scored on the error."
153,Florida,"Halter singled to center field, RBI (2-1 FBB); Prevesk scored."
154,Florida,Thomas pinch hit for Kurland.
155,Florida,Thomas walked (3-0 BBBB); Halter advanced to second.
156,Florida,Robertson pinch hit for Langford.
157,Florida,Robertson walked (3-2 BKBSBFB); Thomas advanced to second; Halter advanced to third.
158,Florida,D. Fabian pinch hit for Caglianone.
159,Florida,"D. Fabian singled to left center, 2 RBI (0-1 K); Robertson advanced to second; Thomas scored; Halter scored."
160,Florida,J. Rivera struck out swinging (0-2 FFS).
161,Florida,Riopelle struck out swinging (1-2 BKSS).
162,Florida,Batting ends R: 5 H:5 E:1
163,LSU,Batting starts
164,Florida,Thomas to 2b.
165,Florida,Robertson to cf.
166,Florida,D. Fabian to 1b.
167,Florida,Prevesk to rf.
168,LSU,Beloso out at first 1b to p (0-0).
169,LSU,Jones grounded out to 2b (2-2 BBFS).
170,LSU,"Jobert homered to center field, RBI (0-1 S)."
171,LSU,Nippolt out at first p to 1b to p (2-2 KBFBF).
172,LSU,Batting ends R: 1 H:1 E:0
